objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237648675071197670,248.9379162,0.776974342,16.98021,15.71432,15.50255,15.45817,15.40867,745,301,5,602,391960530174109696,STAR,-0.000412555,348,51671,536
1237648675071263322,248.9820697,0.737617167,19.54016,17.90658,17.25911,17.01049,16.87026,745,301,5,603,391960255296202752,STAR,-0.00011924,348,51671,535
1237648675071459657,249.501515,0.788275925,18.44934,18.81615,19.27639,19.58418,19.78734,745,301,5,606,391972349924108288,STAR,-0.000313217,348,51671,579
1237648675071525071,249.6161725,0.811166517,18.27879,16.85334,16.2823,16.07612,16.00043,745,301,5,607,391981695772944384,STAR,8.761073E-05,348,51671,613
1237648675071525222,249.6798827,0.798560673,19.5635,18.33654,17.72666,17.37551,17.21048,745,301,5,607,391981420895037440,GALAXY,0.1026237,348,51671,612
1237648675071590548,249.7235743,0.811281969,18.46135,16.32994,15.56006,15.33107,15.21756,745,301,5,608,391979771627595776,STAR,6.71668E-05,348,51671,606
1237648675071590684,249.7583133,0.83132372,19.04569,16.73251,15.79382,15.43086,15.21293,745,301,5,608,391978672115968000,STAR,-1.36E-05,348,51671,602
1237648675603087545,237.566178,1.211418569,18.39806,16.82707,16.15164,15.87068,15.70315,745,301,6,526,385213652283713536,STAR,-0.000190514,342,51691,567
1237648675603087714,237.5282359,1.17246818,19.3612,17.4784,16.80899,16.57395,16.45595,745,301,6,526,385213927161620480,STAR,-7.38E-05,342,51691,568
1237648675603153235,237.6494806,1.129968543,19.40331,18.21209,17.63813,17.21235,17.00459,745,301,6,527,385213377405806592,GALAXY,0.08897925,342,51691,566
1237648702967316573,185.3010802,-1.115060028,19.27254,18.06012,17.47485,17.14241,16.91897,752,301,1,279,324270751597225984,GALAXY,0.1086603,288,52000,42
1237648702967316528,185.3755664,-1.116272375,17.27085,16.35222,16.06819,15.98103,15.95781,752,301,1,279,2880118276736706560,STAR,0.000286916,2558,54140,241
1237648702967316514,185.3153584,-1.228708193,17.86673,16.70224,16.28561,16.13842,16.07762,752,301,1,279,2880130921120425984,STAR,3.458911E-05,2558,54140,287
1237648702967316510,185.3119258,-1.169901677,17.42006,16.41083,16.05819,15.93827,15.88165,752,301,1,279,2891388271139514368,STAR,0.000161151,2568,54153,281
1237648702967251093,185.2106114,-1.103295194,19.33946,17.54367,16.46906,16.02215,15.67555,752,301,1,278,324270476719319040,GALAXY,0.1326728,288,52000,41
1237648702967251083,185.1901025,-1.103407148,19.58956,17.802,17.0892,16.86734,16.72746,752,301,1,278,2880130096486705152,STAR,-3.77E-05,2558,54140,284
1237648702967250946,185.1155257,-1.157698852,18.93968,18.06637,17.73665,17.63644,17.58556,752,301,1,278,4330258410090289152,STAR,0.001041499,3846,55327,172
1237648702967119996,184.9442586,-1.19994139,18.24933,17.00582,16.33551,15.91403,15.63367,752,301,1,276,324314457184430080,GALAXY,0.08496574,288,52000,201
1237648702967119973,184.8641639,-1.236754384,19.21148,18.30171,18.01249,17.8973,17.8553,752,301,1,276,4252753833485424640,STAR,-0.000135229,3777,55210,836
1237648702966988950,184.6059357,-1.216355771,17.61754,16.43764,16.53951,16.6374,16.75182,752,301,1,274,324316106451871744,STAR,0.000414005,288,52000,207
1237648702966988820,184.5356433,-1.064112908,16.20415,14.48584,13.77155,13.41108,13.17842,752,301,1,274,324329850347218944,GALAXY,0.01902536,288,52000,257
1237648702966857828,184.2996669,-1.069698165,19.33407,18.19381,17.72419,17.549,17.46851,752,301,1,272,3722226548988813312,STAR,0.00058224,3306,54922,5
1237648702966792419,184.0773164,-1.069231758,18.79201,17.71587,17.31064,17.09239,16.98464,752,301,1,271,323147051099514880,GALAXY,0.03146952,287,52023,50
1237648702966726705,183.9820896,-1.246031107,19.06868,17.96508,17.49677,17.30542,17.27109,752,301,1,270,3722226823866720256,STAR,0.000606571,3306,54922,6
1237648702966726694,183.9642383,-1.206955336,17.77141,16.57381,16.08228,15.87215,15.79038,752,301,1,270,3722227923378348032,STAR,0.000205683,3306,54922,10
1237648702966726680,183.9431011,-1.2276926,18.87007,17.03356,16.25884,15.90507,15.71206,752,301,1,270,3722229297767882752,STAR,-5.02E-05,3306,54922,15
1237648702966595749,183.7588146,-1.142295897,19.50271,18.76049,18.65779,18.51935,18.24256,752,301,1,268,4252696109124966400,QSO,2.352051,3777,55210,626
1237648702966595724,183.7238131,-1.064790446,19.46423,18.04963,17.51959,17.27666,17.179,752,301,1,268,363677241877489664,STAR,2.311568E-05,323,51615,42
1237648702966595665,183.7301546,-1.120149586,18.39118,17.12011,17.20391,17.26423,17.32476,752,301,1,268,3722238368738811904,STAR,0.000303277,3306,54922,48
1237648702966595654,183.7079101,-1.212500542,18.71876,18.2819,18.26961,18.2414,18.19143,752,301,1,268,364806166296946688,QSO,0.6705019,324,51666,53
1237648702966595652,183.7044912,-1.178359057,19.00703,17.37258,16.68719,16.40405,16.24372,752,301,1,268,363680265534466048,STAR,0.000497854,323,51615,53
1237648702966595650,183.7028387,-1.077135779,17.85999,16.54563,16.05583,15.8433,15.74548,752,301,1,268,3722238918494625792,STAR,0.000239521,3306,54922,50
1237648702966530336,183.6126506,-1.124097754,19.26156,18.13403,17.31124,16.86835,16.58677,752,301,1,267,323156122070444032,GALAXY,0.1780877,287,52023,83
